score	frequency	target
-2510223	1	chm13
-2509318	1	chm13
-2507259	1	chm13
-2504557	1	chm13
-2502841	1	chm13
-2501636	1	chm13
-2495970	1	chm13
-2493592	1	chm13
-2493289	1	chm13
-2493207	1	chm13
-2492537	1	chm13
-2490770	1	chm13
-2489577	1	chm13
-2487351	1	chm13
-2485857	1	chm13
-2482377	1	chm13
-2478929	1	chm13
-2473713	1	chm13
-2473315	1	chm13
-2472990	1	chm13
-2472293	1	chm13
-2471699	1	chm13
-2468226	1	chm13
-2466827	1	chm13
-2463378	1	chm13
-2462802	1	chm13
-2462257	1	chm13
-2459294	1	chm13
-2458496	1	chm13
-2457772	1	chm13
-2457586	1	chm13
-2455621	1	chm13
-2455581	1	chm13
-2453475	1	chm13
-2451092	1	chm13
-2450598	1	chm13
-2448455	1	chm13
-2443844	1	chm13
-2441314	1	chm13
-2441248	1	chm13
-2437611	1	chm13
-2430392	1	chm13
-2426148	1	chm13
-2425363	1	chm13
-2418569	1	chm13
-2417669	1	chm13
-2416268	1	chm13
-2415165	1	chm13
-2414038	1	chm13
-2414026	1	chm13
-2405654	1	chm13
-2401330	1	chm13
-2400353	1	chm13
-2391127	1	chm13
-2388765	1	chm13
-2388406	1	chm13
-2388288	1	chm13
-2385817	1	chm13
-2381434	1	chm13
-2379883	1	chm13
-2377341	1	chm13
-2376673	1	chm13
-2375379	1	chm13
-2374172	1	chm13
-2372976	1	chm13
-2370921	1	chm13
-2370523	1	chm13
-2368995	1	chm13
-2367597	1	chm13
-2361159	1	chm13
-2360371	1	chm13
-2360097	1	chm13
-2359911	1	chm13
-2359482	1	chm13
-2359119	1	chm13
-2357231	1	chm13
-2356337	1	chm13
-2356316	1	chm13
-2355268	1	chm13
-2354469	1	chm13
-2353003	1	chm13
-2352437	1	chm13
-2349662	1	chm13
-2349308	1	chm13
-2349021	1	chm13
-2348104	1	chm13
-2347979	1	chm13
-2345569	1	chm13
-2343164	1	chm13
-2341536	1	chm13
-2340509	1	chm13
-2340028	1	chm13
-2338480	1	chm13
-2338275	1	chm13
-2337729	1	chm13
-2333027	1	chm13
-2333009	1	chm13
-2330350	1	chm13
-2327173	1	chm13
-2326734	1	chm13
-2315941	1	chm13
-2313406	1	chm13
-2310261	1	chm13
-2309619	1	chm13
-2306832	1	chm13
-2306394	1	chm13
-2305416	1	chm13
-2304197	1	chm13
-2301951	1	chm13
-2299271	1	chm13
-2296147	1	chm13
-2292643	1	chm13
-2287358	1	chm13
-2287296	1	chm13
-2286391	1	chm13
-2286094	1	chm13
-2280341	1	chm13
-2268366	1	chm13
-2266608	1	chm13
-2266394	1	chm13
-2266071	1	chm13
-2263359	1	chm13
-2263160	1	chm13
-2262296	1	chm13
-2260514	1	chm13
-2260495	1	chm13
-2260453	1	chm13
-2258902	1	chm13
-2257747	1	chm13
-2250295	1	chm13
-2249462	1	chm13
-2248034	1	chm13
-2246559	1	chm13
-2243345	1	chm13
-2242151	1	chm13
-2240031	1	chm13
-2239982	1	chm13
-2236948	1	chm13
-2236460	1	chm13
-2236233	1	chm13
-2235545	1	chm13
-2234954	1	chm13
-2234529	1	chm13
-2230650	1	chm13
-2230499	1	chm13
-2228672	1	chm13
-2228138	1	chm13
-2226153	1	chm13
-2225225	1	chm13
-2224148	1	chm13
-2223136	1	chm13
-2220931	1	chm13
-2213240	1	chm13
-2212038	1	chm13
-2209536	1	chm13
-2208359	1	chm13
-2207896	1	chm13
-2201494	1	chm13
-2200752	1	chm13
-2200287	1	chm13
-2198161	1	chm13
-2183054	1	chm13
-2172166	1	chm13
-2165098	1	chm13
-2163162	1	chm13
-2160524	1	chm13
-2158305	1	chm13
-2153367	1	chm13
-2149917	1	chm13
-2148255	1	chm13
-2145552	1	chm13
-2141922	1	chm13
-2137390	1	chm13
-2136503	1	chm13
-2133681	1	chm13
-2133623	1	chm13
-2133075	1	chm13
-2131642	1	chm13
-2119174	1	chm13
-2119133	1	chm13
-2116490	1	chm13
-2115817	1	chm13
-2112777	1	chm13
-2112329	1	chm13
-2105722	1	chm13
-2104737	1	chm13
-2103824	1	chm13
-2102722	1	chm13
-2101900	1	chm13
-2100716	1	chm13
-2097749	1	chm13
-2096961	1	chm13
-2093535	1	chm13
-2089270	1	chm13
-2089215	1	chm13
-2089059	1	chm13
-2087446	1	chm13
-2084195	1	chm13
-2083056	1	chm13
-2081284	1	chm13
-2080209	1	chm13
-2077983	1	chm13
-2076888	1	chm13
-2076196	1	chm13
-2076166	1	chm13
-2075731	1	chm13
-2075639	1	chm13
-2072473	1	chm13
-2071523	1	chm13
-2071011	1	chm13
-2070328	1	chm13
-2070073	1	chm13
-2067395	1	chm13
-2066618	1	chm13
-2063702	1	chm13
-2062073	1	chm13
-2060779	1	chm13
-2057713	1	chm13
-2057467	1	chm13
-2057036	1	chm13
-2054554	1	chm13
-2053859	1	chm13
-2052005	1	chm13
-2050699	1	chm13
-2049450	1	chm13
-2046370	1	chm13
-2045496	1	chm13
-2044598	1	chm13
-2043337	1	chm13
-2040925	1	chm13
-2040536	1	chm13
-2038757	1	chm13
-2038141	1	chm13
-2036911	1	chm13
-2033507	1	chm13
-2033209	1	chm13
-2030435	1	chm13
-2023440	1	chm13
-2023322	1	chm13
-2022478	1	chm13
-2022054	1	chm13
-2015285	1	chm13
-2014768	1	chm13
-2012396	1	chm13
-2010747	1	chm13
-2010313	1	chm13
-2009270	1	chm13
-2008839	1	chm13
-2007917	1	chm13
-2004998	1	chm13
-2004758	1	chm13
-2004075	1	chm13
-2002122	1	chm13
-2000701	1	chm13
-1998978	1	chm13
-1986256	1	chm13
-1985743	1	chm13
-1981179	1	chm13
-1981011	1	chm13
-1979386	1	chm13
-1977692	1	chm13
-1976138	1	chm13
-1973477	1	chm13
-1971818	1	chm13
-1968372	1	chm13
-1966981	1	chm13
-1965061	1	chm13
-1964179	1	chm13
-1962243	1	chm13
-1959874	1	chm13
-1959839	1	chm13
-1957828	1	chm13
-1957339	1	chm13
-1956688	1	chm13
-1954222	1	chm13
-1953105	1	chm13
-1951675	1	chm13
-1951636	1	chm13
-1951280	1	chm13
-1949875	1	chm13
-1948382	1	chm13
-1947743	1	chm13
-1947618	1	chm13
-1947291	1	chm13
-1945499	1	chm13
-1945214	1	chm13
-1944861	1	chm13
-1944309	1	chm13
-1942339	1	chm13
-1941160	1	chm13
-1937320	1	chm13
-1937081	1	chm13
-1935648	1	chm13
-1934355	1	chm13
-1933975	1	chm13
-1932560	1	chm13
-1930525	1	chm13
-1929309	1	chm13
-1926303	1	chm13
-1921641	1	chm13
-1920943	1	chm13
-1914224	1	chm13
-1913271	1	chm13
-1911189	1	chm13
-1909911	1	chm13
-1909545	1	chm13
-1909321	1	chm13
-1908581	1	chm13
-1907204	1	chm13
-1906441	1	chm13
-1903861	1	chm13
-1903157	1	chm13
-1902644	1	chm13
-1901603	1	chm13
-1900536	1	chm13
-1899630	1	chm13
